name,player_style,nationality,base_price_(in_lacs),final_price_(in_lacs),franchise,status
Prerak Mankad,Allrounder,India,3.044522437723423,3.044522437723423,LSG,SOLD
Duan Jansen,Allrounder,South Africa,3.044522437723423,3.044522437723423,MI,SOLD
Mayank Dagar,Allrounder,India,3.044522437723423,5.198497031265826,SRH,SOLD
Manoj Bhandage,Allrounder,India,3.044522437723423,3.044522437723423,RCB,SOLD
Will Smeed,Batter,England,3.044522437723423,5.017279836814924,CSK,UNSOLD
Harpreet Singh Bhatia,Batter,India,3.044522437723423,3.713572066704308,PBKS,SOLD
Piyush Chawla,Bowler,India,3.9318256327243257,3.9318256327243257,MI,SOLD
Amit Mishra,Bowler,India,3.9318256327243257,3.9318256327243257,LSG,SOLD
Kyle Jamieson,Allrounder,New Zealand,4.61512051684126,4.61512051684126,CSK,SOLD
Blessing Muzarabani,Bowler,Zimbabwe,3.9318256327243257,5.017279836814924,CSK,UNSOLD
Dushmantha Chameera,Bowler,Sri Lanka,3.9318256327243257,5.017279836814924,CSK,UNSOLD
Taskin Ahmed,Bowler,Bangladesh,3.9318256327243257,5.017279836814924,CSK,UNSOLD
Sandeep Sharma,Bowler,India,3.9318256327243257,5.017279836814924,CSK,UNSOLD
Riley Meredith,Bowler,Australia,5.017279836814924,5.017279836814924,CSK,UNSOLD
Dasun Shanaka,Allrounder,Sri Lanka,3.9318256327243257,5.017279836814924,CSK,UNSOLD
James Neesham,Allrounder,New Zealand,5.303304908059076,5.017279836814924,CSK,UNSOLD
Mohammad Nabi,Allrounder,Afghanistan,4.61512051684126,5.017279836814924,CSK,UNSOLD
Daniel Sams,Allrounder,Australia,4.330733340286331,4.330733340286331,LSG,SOLD
Daryl Mitchell,Allrounder,New Zealand,4.61512051684126,5.017279836814924,CSK,UNSOLD
Romario Shepherd,Bowler,West Indies,3.9318256327243257,3.9318256327243257,LSG,SOLD
Dawid Malan,Batter,England,5.017279836814924,5.017279836814924,CSK,UNSOLD
Travis Head,Allrounder,Australia,5.303304908059076,5.017279836814924,CSK,UNSOLD
Will Jacks,Allrounder,England,5.017279836814924,5.771441123130016,RCB,SOLD
Sherfane Rutherford,Allrounder,West Indies,5.017279836814924,5.017279836814924,CSK,UNSOLD
Manish Pandey,Batter,India,4.61512051684126,5.484796933490655,DC,SOLD
Paul Stirling,Allrounder,Ireland,3.9318256327243257,5.017279836814924,CSK,UNSOLD
Himanshu Sharma,Bowler,India,3.044522437723423,3.044522437723423,RCB,SOLD
Sudhesan Midhun,Bowler,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Shreyas Gopal,Bowler,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Izharulhaq Naveed,Bowler,Afghanistan,3.044522437723423,5.017279836814924,CSK,UNSOLD
Chintal Gandhi,Bowler,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Mukesh Kumar,Bowler,India,3.044522437723423,6.311734809152915,DC,SOLD
Shivam Mavi,Bowler,India,3.713572066704308,6.398594934535208,GT,SOLD
N Jagadeesan,WK-Batter,India,3.044522437723423,4.51085950651685,KKR,SOLD
Lance Morris,Bowler,Australia,3.4339872044851463,5.017279836814924,CSK,UNSOLD
Mujtaba Yousuf,Bowler,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Yash Thakur,Bowler,India,3.044522437723423,3.828641396489095,LSG,SOLD
Vaibhav Arora,Allrounder,India,3.044522437723423,4.110873864173311,KKR,SOLD
Mohammed Azharuddeen,WK-Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Upendra Yadav,WK-Batter,India,3.044522437723423,3.258096538021482,SRH,SOLD
Srikar Bharat,WK-Batter,India,3.044522437723423,4.795790545596741,GT,SOLD
Sanvir Singh,Allrounder,India,3.044522437723423,3.044522437723423,SRH,SOLD
Sumit Kumar,WK-Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Shashank Singh,Allrounder,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Nishant Sindhu,Allrounder,India,3.044522437723423,4.110873864173311,CSK,SOLD
Abhimanyu Easwaran,WK-Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Corbin Bosch,Allrounder,South Africa,3.044522437723423,5.017279836814924,CSK,UNSOLD
Saurabh Kumar,Allrounder,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Samarth Vyas,Allrounder,India,3.044522437723423,3.044522437723423,SRH,SOLD
Priyam Garg,Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Vivrant Sharma,Allrounder,India,3.044522437723423,5.564520407322694,SRH,SOLD
Himmat Singh,Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Shaik Rasheed,Batter,India,3.044522437723423,3.044522437723423,CSK,SOLD
Rohan Kunnummal,Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Shubham Khajuria,Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Odean Smith,Allrounder,West Indies,3.9318256327243257,3.9318256327243257,GT,SOLD
LR Chethan,Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Kane Williamson,Batter,New Zealand,5.303304908059076,5.303304908059076,GT,SOLD
Ajinkya Rahane,Batter,India,3.9318256327243257,3.9318256327243257,CSK,SOLD
Mayank Agarwal,Batter,India,4.61512051684126,6.716594773520978,SRH,SOLD
Jason Holder,Allrounder,West Indies,5.303304908059076,6.3561076606958915,RR,SOLD
Ishant Sharma,Bowler,India,3.9318256327243257,3.9318256327243257,DC,SOLD
Jaydev Unadkat,Bowler,India,3.9318256327243257,3.9318256327243257,LSG,SOLD
Mayank Markande,Bowler,India,3.9318256327243257,3.9318256327243257,SRH,SOLD
Nicholas Pooran,WK-Batter,West Indies,5.303304908059076,7.3783837129967145,LSG,SOLD
Mujeeb Ur Rahman,Bowler,Afghanistan,4.61512051684126,5.017279836814924,CSK,UNSOLD
Tabraiz Shamsi,Bowler,South Africa,4.61512051684126,5.017279836814924,CSK,UNSOLD
Adil Rashid,Bowler,England,5.303304908059076,5.303304908059076,SRH,SOLD
Jhye Richardson,Bowler,Australia,5.017279836814924,5.017279836814924,MI,SOLD
Adam Milne,Bowler,New Zealand,5.303304908059076,5.017279836814924,CSK,UNSOLD
Reece Topley,Bowler,England,4.330733340286331,5.25227342804663,RCB,SOLD
Chris Jordan,Bowler,England,5.303304908059076,5.017279836814924,CSK,UNSOLD
Philip Salt,Batter,England,5.303304908059076,5.303304908059076,DC,SOLD
Tom Banton,WK-Batter,England,5.303304908059076,5.017279836814924,CSK,UNSOLD
Heinrich Klaasen,WK-Batter,South Africa,4.61512051684126,6.26530121273771,SRH,SOLD
Ben Stokes,Allrounder,England,5.303304908059076,7.3938782901077555,CSK,SOLD
Cameron Green,Allrounder,Australia,5.303304908059076,7.467942332285852,MI,SOLD
Sikandar Raza,Allrounder,Zimbabwe,3.9318256327243257,3.9318256327243257,PBKS,SOLD
Sam Curran,Allrounder,England,5.303304908059076,7.523481312573497,PBKS,SOLD
Harry Brook,Batter,England,5.017279836814924,7.189922170745808,SRH,SOLD
Rajat Patidar,Batter,India,3.044522437723423,3.044522437723423,RCB,RETAINED
Matheesha Pathirana,Bowler,Sri Lanka,3.044522437723423,3.044522437723423,CSK,RETAINED
Tristan Stubbs,WK-Batter,South Africa,3.044522437723423,3.044522437723423,MI,RETAINED
Ravi Bishnoi,Bowler,India,3.044522437723423,5.993961427306569,LSG,RETAINED
Yash Dhull,Batter,India,3.044522437723423,3.9318256327243257,DC,RETAINED
Akash Madhwal,Bowler,India,3.044522437723423,3.044522437723423,MI,RETAINED
Kumar Kartikeya,Allrounder,India,3.044522437723423,3.044522437723423,MI,RETAINED
Shahbaz Ahmed,Allrounder,India,3.044522437723423,5.484796933490655,RCB,RETAINED
Rahul Tripathi,Batter,India,3.044522437723423,6.7464121285733745,SRH,RETAINED
Abhinav Manohar Sadarangani,Batter,India,3.044522437723423,5.564520407322694,GT,RETAINED
Harpreet Brar,Bowler,India,3.044522437723423,5.942799375126701,PBKS,RETAINED
Dewald Brevis,Batter,South Africa,3.044522437723423,5.707110264748875,MI,RETAINED
Deepak Hooda,Allrounder,India,3.044522437723423,6.3561076606958915,LSG,RETAINED
Dhruv Jurel,WK-Batter,India,3.044522437723423,3.044522437723423,RR,RETAINED
Mukesh Choudhary,Bowler,India,3.044522437723423,3.044522437723423,CSK,RETAINED
Tim David,Allrounder,Singapore,3.044522437723423,6.716594773520978,MI,RETAINED
Atharva Taide,Allrounder,India,3.044522437723423,3.044522437723423,PBKS,RETAINED
Praveen Dubey,Bowler,India,3.044522437723423,3.9318256327243257,DC,RETAINED
Sai Sudharsan,Batter,India,3.044522437723423,3.044522437723423,GT,RETAINED
Sarfaraz Khan,Batter,India,3.044522437723423,3.044522437723423,DC,RETAINED
Kuldeep Yadav,Bowler,India,3.044522437723423,5.303304908059076,DC,RETAINED
Subhranshu Senapati,Batter,India,3.044522437723423,3.044522437723423,CSK,RETAINED
Obed McCoy,Bowler,West Indies,3.044522437723423,4.330733340286331,RR,RETAINED
Siddarth Kaul,Bowler,India,3.044522437723423,4.330733340286331,RCB,RETAINED
Fazalhaq Farooqi,Bowler,Afghanistan,3.044522437723423,3.9318256327243257,SRH,RETAINED
Shahrukh Khan,Batter,India,3.044522437723423,6.803505257608338,PBKS,RETAINED
Kamlesh Nagarkoti,Bowler,India,3.044522437723423,4.709530201312334,DC,RETAINED
Riyan Parag,Allrounder,India,3.044522437723423,5.942799375126701,RR,RETAINED
Abhishek Sharma,Allrounder,India,3.044522437723423,6.478509642208569,SRH,RETAINED
Rahul Tewatia,Allrounder,India,3.044522437723423,6.803505257608338,GT,RETAINED
Anuj Rawat,WK-Batter,India,3.044522437723423,5.831882477283517,RCB,RETAINED
Rahul Chahar,Bowler,India,3.044522437723423,6.26530121273771,PBKS,RETAINED
Yuzvendra Chahal,Bowler,India,3.044522437723423,6.478509642208569,RR,RETAINED
Umesh Yadav,Bowler,India,3.044522437723423,5.303304908059076,KKR,RETAINED
Mark Wood,Bowler,England,3.044522437723423,6.621405651764134,LSG,RETAINED
Jitesh Sharma,WK-Batter,India,3.044522437723423,3.044522437723423,PBKS,RETAINED
Nathan Ellis,Bowler,Australia,3.044522437723423,4.330733340286331,PBKS,RETAINED
Prabhsimran Singh,WK-Batter,India,3.044522437723423,4.110873864173311,PBKS,RETAINED
Ramandeep Singh,Batter,India,3.044522437723423,3.044522437723423,MI,RETAINED
Mustafizur Rahman,Bowler,Bangladesh,3.044522437723423,5.303304908059076,DC,RETAINED
Suyash Prabhudessai,Batter,India,3.044522437723423,3.4339872044851463,RCB,RETAINED
Tushar Deshpande,Bowler,India,3.044522437723423,3.044522437723423,CSK,RETAINED
Avesh Khan,Bowler,India,3.044522437723423,6.90875477931522,LSG,RETAINED
Ravisrinivasan Sai Kishore,Bowler,India,3.044522437723423,5.707110264748875,GT,RETAINED
Glenn Phillips,WK-Batter,New Zealand,3.044522437723423,5.017279836814924,SRH,RETAINED
Mitchell Santner,Allrounder,New Zealand,3.044522437723423,5.25227342804663,CSK,RETAINED
Ayush Badoni,Allrounder,India,3.044522437723423,3.044522437723423,LSG,RETAINED
Rishi Dhawan,Allrounder,India,3.044522437723423,4.02535169073515,PBKS,RETAINED
Tim Southee,Bowler,New Zealand,3.044522437723423,5.017279836814924,KKR,RETAINED
Jofra Archer,Bowler,England,3.044522437723423,6.68586094706836,MI,RETAINED
Alzarri Joseph,Bowler,West Indies,3.044522437723423,5.484796933490655,GT,RETAINED
Rovman Powell,Batter,West Indies,3.044522437723423,5.638354669333745,DC,RETAINED
Bhanuka Rajapaksa,Batter,Sri Lanka,3.044522437723423,3.9318256327243257,PBKS,RETAINED
Devon Conway,Batter,New Zealand,3.044522437723423,4.61512051684126,CSK,RETAINED
Prashant Solanki,Bowler,India,3.044522437723423,4.795790545596741,CSK,RETAINED
Finn Allen,WK-Batter,New Zealand,3.044522437723423,4.394449154672439,RCB,RETAINED
Mayank Yadav,Bowler,India,3.044522437723423,3.044522437723423,LSG,RETAINED
Pradeep Sangwan,Bowler,India,3.044522437723423,3.044522437723423,GT,RETAINED
Mohsin Khan,Bowler,India,3.044522437723423,3.044522437723423,LSG,RETAINED
Simarjeet Singh,Bowler,India,3.044522437723423,3.044522437723423,CSK,RETAINED
T Natarajan,Bowler,India,3.044522437723423,5.993961427306569,SRH,RETAINED
Kuldeep Sen,Bowler,India,3.044522437723423,3.044522437723423,RR,RETAINED
Kartik Tyagi,Bowler,India,3.044522437723423,5.993961427306569,SRH,RETAINED
Bhuvneshwar Kumar,Bowler,India,3.044522437723423,6.042632833682381,SRH,RETAINED
Prasidh Krishna,Bowler,India,3.044522437723423,6.90875477931522,RR,RETAINED
Noor Ahmad,Bowler,Afghanistan,3.044522437723423,3.4339872044851463,GT,RETAINED
Josh Hazlewood,Bowler,Australia,3.044522437723423,6.654152520183219,RCB,RETAINED
Yash Dayal,Bowler,India,3.044522437723423,5.771441123130016,GT,RETAINED
KC Cariappa,Bowler,India,3.044522437723423,3.4339872044851463,RR,RETAINED
Tilak Varma,Batter,India,3.044522437723423,5.14166355650266,MI,RETAINED
Anukul Roy,Allrounder,India,3.044522437723423,3.044522437723423,KKR,RETAINED
Deepak Chahar,Bowler,India,3.044522437723423,7.244941546337007,CSK,RETAINED
Ripal Patel,Allrounder,India,3.044522437723423,3.044522437723423,DC,RETAINED
Matthew Wade,WK-Batter,Australia,3.044522437723423,5.484796933490655,GT,RETAINED
